Query	Marker	Superkingdom	Phylum	Class	Order	Family	Genus	Species
C341382_2	dnaG	Bacteria(1.00)	Firmicutes(1.00)	Bacilli(1.00)	Lactobacillales(1.00)	Streptococcaceae(1.00)	Streptococcus(1.00)	Streptococcus pneumoniae(1.00)
C342110_2	dnaG	Bacteria(0.99)	Firmicutes(0.99)	Bacilli(0.99)	Lactobacillales(0.99)	Streptococcaceae(0.99)	Streptococcus(0.99)	Streptococcus pneumoniae(0.44)
C343864_5	infC	Bacteria(0.96)	Firmicutes(0.96)	Bacilli(0.96)	Lactobacillales(0.96)	Streptococcaceae(0.96)	Streptococcus(0.96)	Streptococcus pneumoniae(0.76)
C341888_4	pgk	Bacteria(1.00)	Proteobacteria(1.00)	Gammaproteobacteria(1.00)	Pasteurellales(1.00)	Pasteurellaceae(1.00)	Aggregatibacter(0.71)	Aggregatibacter actinomycetemcomitans(0.24)
C343484_9	pgk	Bacteria(0.95)	Firmicutes(0.95)	Bacilli(0.95)	Lactobacillales(0.95)	Streptococcaceae(0.95)	Streptococcus(0.95)	Streptococcus oralis(0.88)
C341726_4	pyrG	Bacteria(0.95)	Firmicutes(0.95)	Bacilli(0.95)	Lactobacillales(0.95)	Streptococcaceae(0.95)	Streptococcus(0.95)	Streptococcus mitis(0.94)
SRS050007_WUGC_scaffold_2240_7	pyrG	Bacteria(0.95)	Firmicutes(0.95)	Bacilli(0.95)	Lactobacillales(0.95)	Streptococcaceae(0.95)	Streptococcus(0.95)	Streptococcus pseudopneumoniae(0.11)
C343398_7	rplA	Bacteria(0.95)	Firmicutes(0.95)	Bacilli(0.95)	Lactobacillales(0.95)	Streptococcaceae(0.95)	Streptococcus(0.95)	Streptococcus pneumoniae(0.62)
SRS050007_WUGC_scaffold_2153_2	rplA	Bacteria(0.97)	Firmicutes(0.97)	Bacilli(0.97)	Lactobacillales(0.97)	Streptococcaceae(0.97)	Streptococcus(0.97)	Streptococcus pneumoniae(0.77)
C343640_5	rplB	Bacteria(1.00)	Proteobacteria(1.00)	Gammaproteobacteria(1.00)	Pasteurellales(1.00)	Pasteurellaceae(1.00)	Haemophilus(0.87)	Haemophilus influenzae(0.73)
C342898_5	rplB	Bacteria(0.96)	Firmicutes(0.96)	Bacilli(0.96)	Lactobacillales(0.96)	Streptococcaceae(0.96)	Streptococcus(0.96)	Streptococcus pneumoniae(0.66)
